AHK runtime verification matrix
Generated: 2026-08-14 04:58:07
Runtimes: 19

===== 2.1-alpha.30 (D:\Tech\Projects\Autohotkey\AutoHotkey64.exe) =====
[2.1-alpha.30] tests\ahk_live_cross_smoke.ahk = PASS
[2.1-alpha.30] tests\ahk_live_test.ahk = PASS
[2.1-alpha.30] tests\ahk_live_product_test.ahk = PASS
[2.1-alpha.30] tests\ahk_live_six_test.ahk = PASS
[2.1-alpha.30] tests\ahk_live_benchmark.ahk = PASS
[2.1-alpha.30] tests\remote_hook_test.ahk = PASS
[2.1-alpha.30] tests\evalscript_inproc.ahk = PASS
[2.1-alpha.30] tests\evalscript_repeat.ahk = PASS
[2.1-alpha.30] tests\evalscript_class.ahk = PASS
[2.1-alpha.30] tests\eval_object_syntax_test.ahk = PASS
[2.1-alpha.30] tests\remote_empty_object_test.ahk = PASS
[2.1-alpha.30] tests\remote_empty_target_test.ahk = PASS
[2.1-alpha.30] tests\remote_deep_redirect_test.ahk = PASS

===== 2.0.26 (D:\Tech\Projects\Autohotkey\Lib\.codex\autohotkey-2.0.26\runtime\AutoHotkey64.exe) =====
[2.0.26] tests\ahk_live_cross_smoke.ahk = PASS
[2.0.26] tests\ahk_live_test.ahk = PASS
[2.0.26] tests\ahk_live_product_test.ahk = PASS
[2.0.26] tests\ahk_live_six_test.ahk = PASS
[2.0.26] tests\ahk_live_benchmark.ahk = PASS
[2.0.26] tests\remote_hook_test.ahk = PASS
[2.0.26] tests\evalscript_inproc.ahk = PASS
[2.0.26] tests\evalscript_repeat.ahk = PASS
[2.0.26] tests\evalscript_class.ahk = PASS
[2.0.26] tests\eval_object_syntax_test.ahk = PASS
[2.0.26] tests\remote_empty_object_test.ahk = PASS
[2.0.26] tests\remote_empty_target_test.ahk = PASS
[2.0.26] tests\remote_deep_redirect_test.ahk = PASS

===== 2.0-beta-MyAutohotkey (D:\Tech\Projects\Autohotkey\MyAutohotkey\AutoHotkey64.exe) =====
[2.0-beta-MyAutohotkey] tests\ahk_live_cross_smoke.ahk = PASS
[2.0-beta-MyAutohotkey] tests\ahk_live_test.ahk = PASS
[2.0-beta-MyAutohotkey] tests\ahk_live_product_test.ahk = PASS
[2.0-beta-MyAutohotkey] tests\ahk_live_six_test.ahk = PASS
[2.0-beta-MyAutohotkey] tests\ahk_live_benchmark.ahk = PASS
[2.0-beta-MyAutohotkey] tests\remote_hook_test.ahk = PASS
[2.0-beta-MyAutohotkey] tests\evalscript_inproc.ahk = PASS
[2.0-beta-MyAutohotkey] tests\evalscript_repeat.ahk = PASS
[2.0-beta-MyAutohotkey] tests\evalscript_class.ahk = PASS
[2.0-beta-MyAutohotkey] tests\eval_object_syntax_test.ahk = PASS
[2.0-beta-MyAutohotkey] tests\remote_empty_object_test.ahk = PASS
[2.0-beta-MyAutohotkey] tests\remote_empty_target_test.ahk = PASS
[2.0-beta-MyAutohotkey] tests\remote_deep_redirect_test.ahk = PASS

===== 2.0-beta-bin (D:\Tech\Projects\Autohotkey\Projects\MyAutoHotkey\AutoHotkey-alpha\bin\AutoHotkey64.exe) =====
[2.0-beta-bin] tests\ahk_live_cross_smoke.ahk = PASS
[2.0-beta-bin] tests\ahk_live_test.ahk = PASS
[2.0-beta-bin] tests\ahk_live_product_test.ahk = PASS
[2.0-beta-bin] tests\ahk_live_six_test.ahk = PASS
[2.0-beta-bin] tests\ahk_live_benchmark.ahk = PASS
[2.0-beta-bin] tests\remote_hook_test.ahk = PASS
[2.0-beta-bin] tests\evalscript_inproc.ahk = PASS
[2.0-beta-bin] tests\evalscript_repeat.ahk = PASS
[2.0-beta-bin] tests\evalscript_class.ahk = PASS
[2.0-beta-bin] tests\eval_object_syntax_test.ahk = PASS
[2.0-beta-bin] tests\remote_empty_object_test.ahk = PASS
[2.0-beta-bin] tests\remote_empty_target_test.ahk = PASS
[2.0-beta-bin] tests\remote_deep_redirect_test.ahk = PASS

===== 2.0-beta.10 (D:\Tech\Projects\Autohotkey\v2.0-beta.10\AutoHotkey64.exe) =====
[2.0-beta.10] tests\ahk_live_cross_smoke.ahk = PASS
[2.0-beta.10] tests\ahk_live_test.ahk = PASS
[2.0-beta.10] tests\ahk_live_product_test.ahk = PASS
[2.0-beta.10] tests\ahk_live_six_test.ahk = PASS
[2.0-beta.10] tests\ahk_live_benchmark.ahk = PASS
